,-50,-49,-46,-44,-42,-41,-40,-38,-36,-38.1,-40.1,-47
0,-46,-42,-38,-37,-37,-37,-37,-37,-36,-35,-34,-42
1,-45,-44,-49,-50,-51,-51,-48,-46,-44,-38,-33,-39
2,-47,-46,-47,-50,-50,-52,-48,-47,-54,-39,-33,-40
3,-47,-47,-47,-47,-48,-48,-44,-45,-50,-41,-33,-39
4,-50,-49,-48,-48,-48,-48,-45,-44,-44,-38,-33,-39
5,-52,-51,-50,-49,-49,-48,-46,-44,-46,-38,-33,-39
6,-54,-53,-52,-51,-50,-49,-47,-45,-47,-40,-33,-37
7,-55,-54,-53,-52,-51,-49,-46,-45,-45,-38,-33,-43
8,-56,-55,-54,-53,-51,-50,-48,-46,-45,-38,-33,-39
9,-57,-56,-56,-54,-53,-51,-49,-47,-46,-36,-27,-43
10,-57,-57,-58,-55,-54,-53,-51,-49,-46,-44,-46,-46
